Source,recipe_name,Target,ingredient_en,Type,book,chapter,section,ingredient_type
B01C018S01,oxyporum,ruta,rue,Undirected,1,18,1,Herbs
B01C018S01,oxyporum,oxygarum,oxygarum,Undirected,1,18,1,Additive
B01C018S01,oxyporum,acetum,vinegar,Undirected,1,18,1,Additive
B01C018S01,oxyporum,mel,honey,Undirected,1,18,1,Additive
B01C018S01,oxyporum,palmula,dates,Undirected,1,18,1,Fruit
B01C019S01,hypotrimma,piper,pepper,Undirected,1,19,1,Spices
B01C019S01,hypotrimma,liquamen,liquamen,Undirected,1,19,1,Additive
B01C019S01,hypotrimma,acetum,vinegar,Undirected,1,19,1,Additive
B01C019S01,hypotrimma,mel,honey,Undirected,1,19,1,Additive
B01C019S01,hypotrimma,caroenum,caroenum,Undirected,1,19,1,Additive
B01C019S01,hypotrimma,menta,mint,Undirected,1,19,1,Herbs
B01C019S01,hypotrimma,oleum,oil,Undirected,1,19,1,Plants
B01C019S01,hypotrimma,vinum,wine,Undirected,1,19,1,Alcoholic Beverages
B01C019S01,hypotrimma,caseus,cheese,Undirected,1,19,1,Dairy
B01C019S01,hypotrimma,uva,grapes,Undirected,1,19,1,Fruit
B01C019S01,hypotrimma,nucleus,pine nuts,Undirected,1,19,1,Nuts & Seeds
B01C019S01,hypotrimma,ligusticum,lovage,Undirected,1,19,1,Herbs
B01C019S01,hypotrimma,uvae_passae,raisins,Undirected,1,19,1,Fruit
B01C019S01,hypotrimma,defritum,defritum,Undirected,1,19,1,Additive
B01C019S01,hypotrimma,cariota,date,Undirected,1,19,1,Fruit
B01C020S01,oxygarum_digestibile,piper,pepper,Undirected,1,20,1,Spices
B01C020S01,oxygarum_digestibile,cuminum,cumin,Undirected,1,20,1,Spices
B01C020S01,oxygarum_digestibile,cardamomum,cardamon,Undirected,1,20,1,Spices
B01C020S01,oxygarum_digestibile,folium,aromatic leaf,Undirected,1,20,1,Spices
B01C020S01,oxygarum_digestibile,liquamen,liquamen,Undirected,1,20,1,Additive
B01C020S01,oxygarum_digestibile,oxygarum,oxygarum,Undirected,1,20,1,Additive
B01C020S01,oxygarum_digestibile,acetum,vinegar,Undirected,1,20,1,Additive
B01C020S01,oxygarum_digestibile,mel,honey,Undirected,1,20,1,Additive
B01C020S01,oxygarum_digestibile,menta,mint,Undirected,1,20,1,Herbs
B01C020S02,oxygarum_digestibile_aliter_1,piper,pepper,Undirected,1,20,2,Spices
B01C020S02,oxygarum_digestibile_aliter_1,carum,caraway,Undirected,1,20,2,Spices
B01C020S02,oxygarum_digestibile_aliter_1,petroselinum,parsley,Undirected,1,20,2,Herbs
B01C020S02,oxygarum_digestibile_aliter_1,liquamen,liquamen,Undirected,1,20,2,Additive
B01C020S02,oxygarum_digestibile_aliter_1,acetum,vinegar,Undirected,1,20,2,Additive
B01C020S02,oxygarum_digestibile_aliter_1,mel,honey,Undirected,1,20,2,Additive
B01C020S02,oxygarum_digestibile_aliter_1,ligusticum,lovage,Undirected,1,20,2,Herbs
B01C021S01,moretaria,piper,pepper,Undirected,1,21,1,Spices
B01C021S01,moretaria,coriandrum,coriander,Undirected,1,21,1,Herbs
B01C021S01,moretaria,foeniculum,fennel,Undirected,1,21,1,Herbs
B01C021S01,moretaria,ruta,rue,Undirected,1,21,1,Herbs
B01C021S01,moretaria,liquamen,liquamen,Undirected,1,21,1,Additive
B01C021S01,moretaria,acetum,vinegar,Undirected,1,21,1,Additive
B01C021S01,moretaria,menta,mint,Undirected,1,21,1,Herbs
B01C021S01,moretaria,mel,honey,Undirected,1,21,1,Additive
B01C021S01,moretaria,ligusticum,lovage,Undirected,1,21,1,Herbs
B02C001S01,isicia,piper,pepper,Undirected,2,1,1,Spices
B02C001S01,isicia,cuminum,cumin,Undirected,2,1,1,Spices
B02C001S01,isicia,laser,laser,Undirected,2,1,1,Spices
B02C001S01,isicia,sepia,cuttlefish,Undirected,2,1,1,Seafood
B02C001S01,isicia,cammarus,lobster / crawfish (cammarus),Undirected,2,1,1,Seafood
B02C001S01,isicia,ligusticum,lovage,Undirected,2,1,1,Herbs
B02C001S01,isicia,isicium,isicium,Undirected,2,1,1,Meat
B02C001S01,isicia,locusta,lobster,Undirected,2,1,1,Seafood
B02C001S01,isicia,lolligo,squid,Undirected,2,1,1,Seafood
B02C001S02,isicia_de_lolligine,lolligo,squid,Undirected,2,1,2,Seafood
B02C001S02,isicia_de_lolligine,liquamen,liquamen,Undirected,2,1,2,Additive
B02C001S03,isicia_de_scillis_vel_de_cammaris_amplis,piper,pepper,Undirected,2,1,3,Spices
B02C001S03,isicia_de_scillis_vel_de_cammaris_amplis,liquamen,liquamen,Undirected,2,1,3,Additive
B02C001S03,isicia_de_scillis_vel_de_cammaris_amplis,scilla,sea onion,Undirected,2,1,3,Plants
B02C001S03,isicia_de_scillis_vel_de_cammaris_amplis,cammarus,lobster / crawfish (cammarus),Undirected,2,1,3,Seafood
B02C001S04,omentata_ita_fiunt,porcus,pork,Undirected,2,1,4,Meat
B02C001S04,omentata_ita_fiunt,piper,pepper,Undirected,2,1,4,Spices
B02C001S04,omentata_ita_fiunt,folium_lauri,bay/laurel leaves,Undirected,2,1,4,Herbs
B02C001S04,omentata_ita_fiunt,ruta,rue,Undirected,2,1,4,Herbs
B02C001S04,omentata_ita_fiunt,liquamen,liquamen,Undirected,2,1,4,Additive
B02C001S04,omentata_ita_fiunt,iecur,liver,Undirected,2,1,4,Meat
B02C001S05,omentata_ita_fiunt_aliter_isicium_1,piper,pepper,Undirected,2,1,5,Spices
B02C001S05,omentata_ita_fiunt_aliter_isicium_1,origanum,oregano,Undirected,2,1,5,Herbs
B02C001S05,omentata_ita_fiunt_aliter_isicium_1,liquamen,liquamen,Undirected,2,1,5,Additive
B02C001S05,omentata_ita_fiunt_aliter_isicium_1,ovum,eggs,Undirected,2,1,5,Dairy
B02C001S05,omentata_ita_fiunt_aliter_isicium_1,ligusticum,lovage,Undirected,2,1,5,Herbs
B02C001S05,omentata_ita_fiunt_aliter_isicium_1,cerebrum,brain,Undirected,2,1,5,Meat
B02C001S06,isicia_exsphondylis,sphondylus,hogweed,Undirected,2,1,6,Plants
B02C001S06,isicia_exsphondylis,piper,pepper,Undirected,2,1,6,Spices
B02C001S06,isicia_exsphondylis,oenogarum,oenogarum,Undirected,2,1,6,Additive
B02C001S06,isicia_exsphondylis,ovum,eggs,Undirected,2,1,6,Dairy
B02C001S06,isicia_exsphondylis,isicium,isicium,Undirected,2,1,6,Meat
B02C001S06,isicia_exsphondylis,alica,spelt / emmer wheat,Undirected,2,1,6,Cereals
B02C001S06,isicia_exsphondylis,omentum,caul,Undirected,2,1,6,Meat
B02C001S07,isicia_omentata,piper,pepper,Undirected,2,1,7,Spices
B02C001S07,isicia_omentata,liquamen,liquamen,Undirected,2,1,7,Additive
B02C001S07,isicia_omentata,caroenum,caroenum,Undirected,2,1,7,Additive
B02C001S07,isicia_omentata,vinum,wine,Undirected,2,1,7,Alcoholic Beverages
B02C001S07,isicia_omentata,porcus,pork,Undirected,2,1,7,Meat
B02C001S07,isicia_omentata,nux,wallnuts,Undirected,2,1,7,Nuts & Seeds
B02C001S07,isicia_omentata,bacae_myrti,myrtle berry,Undirected,2,1,7,Fruit
B02C001S07,isicia_omentata,nucleus,pine nuts,Undirected,2,1,7,Nuts & Seeds
B02C001S07,isicia_omentata,omentum,caul,Undirected,2,1,7,Meat
B02C002S01,hydrogaratum_et_apothermum_et_amulatum,piper,pepper,Undirected,2,2,1,Spices
B02C002S01,hydrogaratum_et_apothermum_et_amulatum,liquamen,liquamen,Undirected,2,2,1,Additive
B02C002S01,hydrogaratum_et_apothermum_et_amulatum,caroenum,caroenum,Undirected,2,2,1,Additive
B02C002S01,hydrogaratum_et_apothermum_et_amulatum,phasianus,pheasant,Undirected,2,2,1,Meat
B02C002S02,hydrogarata_isicia,piper,pepper,Undirected,2,2,2,Spices
B02C002S02,hydrogarata_isicia,liquamen,liquamen,Undirected,2,2,2,Additive
B02C002S02,hydrogarata_isicia,ligusticum,lovage,Undirected,2,2,2,Herbs
B02C002S02,hydrogarata_isicia,pyrethrum,pellitory,Undirected,2,2,2,Spices
B02C002S03,in_isicia_de_pullo,piper,pepper,Undirected,2,2,3,Spices
B02C002S03,in_isicia_de_pullo,liquamen,liquamen,Undirected,2,2,3,Additive
